"error","ranef","alpha","var.settings","variable","prop.reject","nortest","random.effect","rotation","s"
"norm","exp",0.1,"sige2_sigb1","AD.b0",0.162,"AD","b0","Rotated",50
"norm","norm",0.05,"sige2_sigb1","AD.b0",0.046,"AD","b0","Rotated",50
"norm","norm",0.1,"sige2_sigb1","AD.b0",0.106,"AD","b0","Rotated",50
"norm","t",0.05,"sige2_sigb1","AD.b0",0.131,"AD","b0","Rotated",50
"norm","t",0.1,"sige2_sigb1","AD.b0",0.202,"AD","b0","Rotated",50
"t","exp",0.05,"sige2_sigb1","AD.b0",0.12,"AD","b0","Rotated",50
"t","exp",0.1,"sige2_sigb1","AD.b0",0.204,"AD","b0","Rotated",50
"t","norm",0.05,"sige2_sigb1","AD.b0",0.067,"AD","b0","Rotated",50
"t","norm",0.1,"sige2_sigb1","AD.b0",0.12,"AD","b0","Rotated",50
"t","t",0.05,"sige2_sigb1","AD.b0",0.167,"AD","b0","Rotated",50
"t","t",0.1,"sige2_sigb1","AD.b0",0.244,"AD","b0","Rotated",50
"exp","exp",0.05,"sige1_sigb1","AD.b0",0.167,"AD","b0","Rotated",50
"exp","exp",0.1,"sige1_sigb1","AD.b0",0.236,"AD","b0","Rotated",50
"exp","norm",0.05,"sige1_sigb1","AD.b0",0.044,"AD","b0","Rotated",50
"exp","norm",0.1,"sige1_sigb1","AD.b0",0.089,"AD","b0","Rotated",50
"exp","t",0.05,"sige1_sigb1","AD.b0",0.239,"AD","b0","Rotated",50
"exp","t",0.1,"sige1_sigb1","AD.b0",0.312,"AD","b0","Rotated",50
"norm","exp",0.05,"sige1_sigb1","AD.b0",0.183,"AD","b0","Rotated",50
"norm","exp",0.1,"sige1_sigb1","AD.b0",0.25,"AD","b0","Rotated",50
"norm","norm",0.05,"sige1_sigb1","AD.b0",0.041,"AD","b0","Rotated",50
"norm","norm",0.1,"sige1_sigb1","AD.b0",0.086,"AD","b0","Rotated",50
"norm","t",0.05,"sige1_sigb1","AD.b0",0.185,"AD","b0","Rotated",50
"norm","t",0.1,"sige1_sigb1","AD.b0",0.268,"AD","b0","Rotated",50
"t","exp",0.05,"sige1_sigb1","AD.b0",0.189,"AD","b0","Rotated",50
"t","exp",0.1,"sige1_sigb1","AD.b0",0.28,"AD","b0","Rotated",50
"t","norm",0.05,"sige1_sigb1","AD.b0",0.059,"AD","b0","Rotated",50
"t","norm",0.1,"sige1_sigb1","AD.b0",0.103,"AD","b0","Rotated",50
"t","t",0.05,"sige1_sigb1","AD.b0",0.228,"AD","b0","Rotated",50
"t","t",0.1,"sige1_sigb1","AD.b0",0.307,"AD","b0","Rotated",50
"exp","exp",0.05,"sige1_sigb2","AD.b0",0.225,"AD","b0","Rotated",50
"exp","exp",0.1,"sige1_sigb2","AD.b0",0.308,"AD","b0","Rotated",50
"exp","norm",0.05,"sige1_sigb2","AD.b0",0.048,"AD","b0","Rotated",50
"exp","norm",0.1,"sige1_sigb2","AD.b0",0.11,"AD","b0","Rotated",50
"exp","t",0.05,"sige1_sigb2","AD.b0",0.251,"AD","b0","Rotated",50
"exp","t",0.1,"sige1_sigb2","AD.b0",0.333,"AD","b0","Rotated",50
"norm","exp",0.05,"sige1_sigb2","AD.b0",0.228,"AD","b0","Rotated",50
"norm","exp",0.1,"sige1_sigb2","AD.b0",0.309,"AD","b0","Rotated",50
"norm","norm",0.05,"sige1_sigb2","AD.b0",0.057,"AD","b0","Rotated",50
"norm","norm",0.1,"sige1_sigb2","AD.b0",0.097,"AD","b0","Rotated",50
"norm","t",0.05,"sige1_sigb2","AD.b0",0.247,"AD","b0","Rotated",50
"norm","t",0.1,"sige1_sigb2","AD.b0",0.325,"AD","b0","Rotated",50
"t","exp",0.05,"sige1_sigb2","AD.b0",0.223,"AD","b0","Rotated",50
"t","exp",0.1,"sige1_sigb2","AD.b0",0.322,"AD","b0","Rotated",50
"t","norm",0.05,"sige1_sigb2","AD.b0",0.061,"AD","b0","Rotated",50
"t","norm",0.1,"sige1_sigb2","AD.b0",0.111,"AD","b0","Rotated",50
"t","t",0.05,"sige1_sigb2","AD.b0",0.267,"AD","b0","Rotated",50
"t","t",0.1,"sige1_sigb2","AD.b0",0.35,"AD","b0","Rotated",50
"exp","exp",0.05,"sige2_sigb1","AD.b0",0.134,"AD","b0","Rotated",55
"exp","exp",0.1,"sige2_sigb1","AD.b0",0.185,"AD","b0","Rotated",55
"exp","norm",0.05,"sige2_sigb1","AD.b0",0.047,"AD","b0","Rotated",55
"exp","norm",0.1,"sige2_sigb1","AD.b0",0.093,"AD","b0","Rotated",55
"exp","t",0.05,"sige2_sigb1","AD.b0",0.151,"AD","b0","Rotated",55
"exp","t",0.1,"sige2_sigb1","AD.b0",0.215,"AD","b0","Rotated",55
"norm","exp",0.05,"sige2_sigb1","AD.b0",0.087,"AD","b0","Rotated",55
"norm","exp",0.1,"sige2_sigb1","AD.b0",0.16,"AD","b0","Rotated",55
"norm","norm",0.05,"sige2_sigb1","AD.b0",0.04,"AD","b0","Rotated",55
"norm","norm",0.1,"sige2_sigb1","AD.b0",0.092,"AD","b0","Rotated",55
