"sigma_e","sigma_b","e_dsn","b_dsn","fc.b0","fc.b1","s_int","s_slope"
1,2,"exp","t",0.0490532703496111,0.179282277346154,45,45
1,2,"norm","exp",0.0428921149606973,0.160552181831894,45,45
1,2,"norm","norm",0.0397659439122175,0.151093780038768,45,45
1,2,"norm","t",0.0496934790781137,0.180145337127068,45,45
1,2,"t","exp",0.0425319962310997,0.156288615119185,45,45
1,2,"t","norm",0.0396906250446231,0.149267969175014,45,45
1,2,"t","t",0.0491172877747834,0.178342804980315,45,45
2,1,"exp","exp",0.349568797102719,0.638198855273665,50,50
2,1,"exp","norm",0.336342849425634,0.629504508702985,50,50
2,1,"exp","t",0.379877901805077,0.649457850354536,50,50
2,1,"norm","exp",0.348093964796761,0.633869915868375,50,50
2,1,"norm","norm",0.332872251457925,0.629519368279181,50,50
2,1,"norm","t",0.380196418345667,0.659838527678209,50,50
2,1,"t","exp",0.346130045033126,0.633576025361828,50,50
2,1,"t","norm",0.333378438453586,0.624327149801143,50,50
2,1,"t","t",0.374854100936235,0.649130440713859,50,50
1,1,"exp","exp",0.142583705714507,0.39638063180924,50,50
1,1,"exp","norm",0.136530603019621,0.378318072560466,50,50
1,1,"exp","t",0.159363042383854,0.421034025294006,50,50
1,1,"norm","exp",0.142522771633286,0.3940552255829,50,50
1,1,"norm","norm",0.134859487484519,0.381506086693601,50,50
1,1,"norm","t",0.16078716255607,0.422891612141898,50,50
1,1,"t","exp",0.142167948836958,0.387096015639369,50,50
1,1,"t","norm",0.134391019904412,0.377849993843482,50,50
1,1,"t","t",0.158299545288908,0.419757548954911,50,50
1,2,"exp","exp",0.0485759177967301,0.170674338700817,50,50
1,2,"exp","norm",0.0458337115631853,0.159036279420714,50,50
1,2,"exp","t",0.0554195110619569,0.189741852208075,50,50
1,2,"norm","exp",0.0486550802123868,0.170167248390379,50,50
1,2,"norm","norm",0.0452458340666421,0.160334616557614,50,50
1,2,"norm","t",0.0561292178533748,0.190679746331853,50,50
1,2,"t","exp",0.0482332448615268,0.165585624861249,50,50
1,2,"t","norm",0.0451131746339199,0.158329485517137,50,50
1,2,"t","t",0.055449043940706,0.188625210424324,50,50
2,1,"exp","exp",0.368396818942931,0.652441855940203,55,55
2,1,"exp","norm",0.355456063804718,0.644158021228391,55,55
2,1,"exp","t",0.39894546697574,0.66328672632158,55,55
2,1,"norm","exp",0.367011409904632,0.64838569547507,55,55
2,1,"norm","norm",0.351964460453069,0.644341096282559,55,55
2,1,"norm","t",0.399332837999219,0.673529522952373,55,55
2,1,"t","exp",0.364852448982558,0.647456790208148,55,55
2,1,"t","norm",0.352354662051045,0.638484661789782,55,55
2,1,"t","t",0.393802857819342,0.6625253158376,55,55
1,1,"exp","exp",0.155532488214531,0.41042013511207,55,55
1,1,"exp","norm",0.149368714777912,0.392396397658439,55,55
1,1,"exp","t",0.172952288443362,0.43527179655498,55,55
1,1,"norm","exp",0.155461398174306,0.408129594085674,55,55
1,1,"norm","norm",0.147556891313879,0.395620538544215,55,55
1,1,"norm","t",0.174390676631805,0.437235919474255,55,55
1,1,"t","exp",0.155319092690001,0.400805486285847,55,55
1,1,"t","norm",0.147242381911928,0.391701460611417,55,55
1,1,"t","t",0.171974872355932,0.433717834271283,55,55
1,2,"exp","exp",0.057294761621646,0.179429426752523,55,55
1,2,"exp","norm",0.0543933584692669,0.167452126990443,55,55
1,2,"exp","t",0.0647625583288661,0.199146015070261,55,55
1,2,"norm","exp",0.0574175515694541,0.178919473428068,55,55
1,2,"norm","norm",0.0537001820249886,0.168808675658142,55,55
1,2,"norm","t",0.0655897496370791,0.200152360339141,55,55
1,2,"t","exp",0.0568902868396917,0.174041325776971,55,55
1,2,"t","norm",0.0534458441424414,0.166620390104868,55,55
1,2,"t","t",0.0647051341833011,0.197867212893573,55,55
2,1,"exp","exp",0.382269096700108,0.662638354087262,58,59
2,1,"exp","norm",0.369706956229229,0.654655007112423,58,59
2,1,"exp","t",0.412718044805676,0.673213765812858,58,59
2,1,"norm","exp",0.380972938805138,0.658773831422887,58,59
2,1,"norm","norm",0.366254550328634,0.654950574926098,58,59
2,1,"norm","t",0.413136669066037,0.683373657234271,58,59
2,1,"t","exp",0.378630384896135,0.657391780252073,58,59
2,1,"t","norm",0.366443245207448,0.64862418988272,58,59
2,1,"t","t",0.407481919716156,0.672156073752831,58,59
1,1,"exp","exp",0.165296152790744,0.420181086360343,58,59
1,1,"exp","norm",0.159033769776436,0.402169961785846,58,59
1,1,"exp","t",0.183279410196056,0.445178352259154,58,59
1,1,"norm","exp",0.165223220846117,0.417906661960168,58,59
1,1,"norm","norm",0.157157998948692,0.405415667388423,58,59
1,1,"norm","t",0.184771817147642,0.447227082949383,58,59
1,1,"t","exp",0.165055377596636,0.410364183062776,58,59
1,1,"t","norm",0.156805063450899,0.40134270747213,58,59
1,1,"t","t",0.182259173558694,0.44346575238448,58,59
1,2,"exp","exp",0.062818142450005,0.187166348320317,58,59
1,2,"exp","norm",0.0597982684824135,0.175028337151039,58,59
1,2,"exp","t",0.0706193811882222,0.207119174178225,58,59
1,2,"norm","exp",0.0629189613994068,0.186651980797639,58,59
1,2,"norm","norm",0.0591091321248661,0.176451723107406,58,59
1,2,"norm","t",0.0714607629424258,0.208155487027788,58,59
1,2,"t","exp",0.0624094582819549,0.181549259036645,58,59
1,2,"t","norm",0.0587906507220896,0.17409644391879,58,59
1,2,"t","t",0.070574377241177,0.205721077684711,58,59
